Word,Meaning,Type,Audio,Sentence,,,,
egotist,a conceited and self-centered person,noun,https://lex-audio.useremarkable.com/mp3/egotist_us_2.mp3,he is a self-absorbed egotist,0,self-seeker,egocentric,egomaniac
elaborate,marked by complexity and richness of detail,verb,https://lex-audio.useremarkable.com/mp3/elaborate_us_1.mp3,the key idea of the book is expressed in the title and elaborated in the text,0,narrate,relate,recount
euphoria,a feeling of great elation,noun,https://lex-audio.useremarkable.com/mp3/euphoria_us_1.mp3,the euphoria of success will fuel your desire to continue training,0,elation,happiness,joy
fickle,liable to sudden unpredictable change,adjective,https://lex-audio.useremarkable.com/mp3/fickle_us_1.mp3,"Web patrons are a notoriously fickle lot, bouncing from one site to another on a whim",0,capricious,changeable,variable
genial,agreeable; conducive to comfort,adjective,https://lex-audio.useremarkable.com/mp3/genial_us_1_rr.mp3,waved to them in genial greeting,0,friendly,affable,cordial
glib,artfully persuasive in speech,adjective,https://lex-audio.useremarkable.com/mp3/glib_us_1.mp3,she was careful not to let the answer sound too glib,0,slick,pat,neat
grovel,show submission or fear,intransitive verb,https://lex-audio.useremarkable.com/mp3/grovel_us_1_rr.mp3,she was groveling on the floor in fear,0,crawl,creep,cringe
headstrong,habitually disposed to disobedience and opposition,adjective,https://lex-audio.useremarkable.com/mp3/headstrong_us_1.mp3,I am headstrong and like getting my own way,0,wilful,self-willed,strong-willed
impeccable,without fault or error,adjective,https://lex-audio.useremarkable.com/mp3/impeccable_us_1.mp3,a man of impeccable character,0,flawless,faultless,unblemished
inadvertent,happening by chance or unexpectedly or unintentionally,adjective,https://lex-audio.useremarkable.com/mp3/inadvertent_us_2.mp3,an inadvertent administrative error occurred that resulted in an overpayment,0,unintentional,unintended,accidental
irresolute,uncertain how to act or proceed,adjective,https://lex-audio.useremarkable.com/mp3/irresolute_us_1.mp3,she stood irresolute outside his door,0,indecisive,hesitant,tentative
jargon,a characteristic language of a particular group,noun,https://lex-audio.useremarkable.com/mp3/jargon_us_1.mp3,legal jargon,0,specialized language,technical language,slang
lucid,transparently clear; easily understandable,adjective,https://lex-audio.useremarkable.com/mp3/lucid_us_1.mp3,a lucid account,0,intelligible,comprehensible,understandable
martial,suggesting war or military life,adjective,https://lex-audio.useremarkable.com/mp3/martial_us_1.mp3,martial bravery,0,military,soldierly,soldier-like
perennial,lasting an indefinitely long time,noun,https://lex-audio.useremarkable.com/mp3/perennial_us_1.mp3,perennials will transform the garden in summer,0,eternal,everlasting,perpetual
perpetuate,cause to continue or prevail,transitive verb,https://lex-audio.useremarkable.com/mp3/perpetuate_us_1.mp3,the law perpetuated the interests of the ruling class,0,keep alive,keep going,keep in existence
pertinent,being of striking appropriateness,adjective,https://lex-audio.useremarkable.com/mp3/pertinent_us_1.mp3,she asked me a lot of very pertinent questions,0,relevant,to the point,apposite
precedent,an example that is used to justify similar occurrences,noun,https://lex-audio.useremarkable.com/mp3/precedent_us_3.mp3,there are substantial precedents for using interactive media in training,0,model,exemplar,example
pristine,immaculately clean and unused,adjective,https://lex-audio.useremarkable.com/mp3/pristine_us_1_rr.mp3,pristine copies of an early magazine,0,intact,untouched,sterile
rankle,make resentful or angry,intransitive verb,https://lex-audio.useremarkable.com/mp3/rankle_us_1.mp3,the casual manner of his dismissal still rankles,0,affront,displease,infuriate
sentimental,effusively or insincerely emotional,adjective,https://lex-audio.useremarkable.com/mp3/sentimental_us_1.mp3,she felt a sentimental attachment to the place creep over her,0,nostalgic,tender,emotional
smattering,a slight or superficial understanding of a subject,noun,https://lex-audio.useremarkable.com/mp3/smattering_us_1.mp3,Edward had only a smattering of Spanish,0,superficial,tinge,very less
spurn,reject with contempt,transitive verb,https://lex-audio.useremarkable.com/mp3/spurn_us_1.mp3,"he spoke gruffly, as if afraid that his invitation would be spurned",0,refuse,decline,say no to
surly,unfriendly and inclined toward anger or irritation,adjective,https://lex-audio.useremarkable.com/mp3/surly_us_1.mp3,he left with a surly expression,0,bad-tempered,ill-natured,grumpy
tumult,a state of commotion and noise and confusion,noun,https://lex-audio.useremarkable.com/mp3/tumult_us_1.mp3,a tumult of shouting and screaming broke out,0,din,loud noise,racket
uncompromising,not making concessions,adjective,https://lex-audio.useremarkable.com/mp3/uncompromising_us_1.mp3,his uncompromising stance on the issue,0,implacable,unbending,stern
unruly,unable to be governed or controlled,adjective,https://lex-audio.useremarkable.com/mp3/unruly_us_1.mp3,Kate tried to control her unruly emotions,0,disorderly,rowdy,wild
urbane,showing a high degree of refinement,adjective,https://lex-audio.useremarkable.com/mp3/urbane_us_1.mp3,"the supposedly urbane, restrained English gentleman",0,suave,sophisticated,debonair
vacuous,devoid of matter,adjective,https://lex-audio.useremarkable.com/mp3/vacuous_us_1.mp3,a vacuous smile,0,blank,vacant,expressionless
whimsical,determined by chance or impulse rather than by necessity,adjective,https://lex-audio.useremarkable.com/mp3/whimsical_us_1.mp3,a whimsical sense of humor,0,fanciful,playful,mischievous
jargon,a characteristic language of a particular group,noun,https://lex-audio.useremarkable.com/mp3/jargon_us_1.mp3,legal jargon,0,specialized language,technical language,slang
illicit,contrary to accepted morality or convention,adjective,https://lex-audio.useremarkable.com/mp3/illicit_us_1.mp3,illicit drugs,0,illegal,unlawful,illegitimate
genteel,marked by refinement in taste and manners,adjective,https://lex-audio.useremarkable.com/mp3/genteel_us_1.mp3,her genteel upbringing,0,refined,respectable,polished
facetious,cleverly amusing in tone,adjective,https://lex-audio.useremarkable.com/mp3/facetious_us_1.mp3,a facetious remark,0,flippant,flip,glib
commendable,worthy of high praise,adjective,https://lex-audio.useremarkable.com/mp3/commendable_us_1.mp3,commendable restraint,0,admirable,praiseworthy,laudable
